Hybridization REF	GSM115896	GSM115897	GSM115898	GSM115899	GSM115900	GSM115901
Affymetrix:CompositeSequence:Mouse430A_2:1415731_at	0.010742	0.19458	0.366211	0.111572	0.095215	0.19458
Affymetrix:CompositeSequence:Mouse430A_2:1415732_at	0.008057	0.149658	0.005859	0.00415	0.129639	0.19458
Affymetrix:CompositeSequence:Mouse430A_2:1415733_a_at	0.111572	0.010742	0.046143	0.171387	0.129639	0.111572
Affymetrix:CompositeSequence:Mouse430A_2:1415734_at	0.008057	0.00415	0.19458	0.01416	0.144531	0.01416
Affymetrix:CompositeSequence:Mouse430A_2:1415735_at	0.149658	0.000732	0.366211	0.010742	0.056152	0.046143
Affymetrix:CompositeSequence:Mouse430A_2:1415736_at	0.000244	0.000244	0.000244	0.00293	0.001221	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:1415737_at	0.000244	0.043701	0.219482	0.030273	0.27417	0.000244
Affymetrix:CompositeSequence:Mouse430A_2:1415738_at	0.665527	0.696289	0.696289	0.567627	0.657715	0.149658
Affymetrix:CompositeSequence:Mouse430A_2:1415739_at	0.00293	0.001953	0.067627	0.000732	0.219482	0.00415
Affymetrix:CompositeSequence:Mouse430A_2:1415740_at	0.000244	0.000244	0.001953	0.01416	0.010742	0.000732
Affymetrix:CompositeSequence:Mouse430A_2:1415741_at	0.037598	0.000244	0.01416	0.037598	0.037598	0.001953
Affymetrix:CompositeSequence:Mouse430A_2:1415742_at	0.018555	0.001953	0.005859	0.023926	0.023926	0.001221
Affymetrix:CompositeSequence:Mouse430A_2:1415743_at	0.01416	0.030273	0.398926	0.149658	0.00415	0.129639
Affymetrix:CompositeSequence:Mouse430A_2:1415744_at	0.001221	0.010742	0.000732	0.046143	0.01416	0.010742
Affymetrix:CompositeSequence:Mouse430A_2:1415745_a_at	0.023926	0.046143	0.303711	0.080566	0.067627	0.023926
Affymetrix:CompositeSequence:Mouse430A_2:1415746_at	0.559326	0.056152	0.696289	0.366211	0.124756	0.665527
