Hybridization REF	GSM115896	GSM115897	GSM115898	GSM115899	GSM115900	GSM115901
Affymetrix:CompositeSequence:Mouse430A_2:1415694_at	803.1	626	2538.5	2405.8	1891.4	1153.2
Affymetrix:CompositeSequence:Mouse430A_2:1415695_at	6875.9	5648.6	3686.3	10678.8	7364.6	9492.3
Affymetrix:CompositeSequence:Mouse430A_2:1415696_at	7360.3	5749.1	12001.2	9989.5	6387.8	15042.2
Affymetrix:CompositeSequence:Mouse430A_2:1415697_at	1654.1	4301.5	2899.4	1453.5	1783.7	2214.6
Affymetrix:CompositeSequence:Mouse430A_2:1415698_at	13897.8	12146.8	7756	8178.9	11744.9	474.8
Affymetrix:CompositeSequence:Mouse430A_2:1415699_a_at	9045.6	7891	12147.8	6612.7	6726.3	5287.2
Affymetrix:CompositeSequence:Mouse430A_2:1415700_a_at	16207.9	11875.7	13561.3	16277.9	7455.9	10902.1
Affymetrix:CompositeSequence:Mouse430A_2:1415701_x_at	297135	282394.6	283087.1	321696.6	279706	274763.9
Affymetrix:CompositeSequence:Mouse430A_2:1415702_a_at	2325.4	8151.9	6420.6	4397.7	4403.4	5053.4
Affymetrix:CompositeSequence:Mouse430A_2:1415703_at	12333.5	10951.4	14841.3	10213	8483.7	14947.6
Affymetrix:CompositeSequence:Mouse430A_2:1415704_a_at	11350	8403	5954.9	8256.4	7415.4	6817
Affymetrix:CompositeSequence:Mouse430A_2:1415705_at	1379.7	1582.5	3336.4	2574	2532.6	2299.5
Affymetrix:CompositeSequence:Mouse430A_2:1415706_at	4001.6	3331.9	1848.8	2898.2	3426.1	5123.5
Affymetrix:CompositeSequence:Mouse430A_2:1415707_at	3672	1287	74.3	1088.3	191.6	666.4
Affymetrix:CompositeSequence:Mouse430A_2:1415708_at	13369	5363.9	7961.8	3450.3	8557.1	6383.2
Affymetrix:CompositeSequence:Mouse430A_2:1415709_s_at	1199.3	2137.2	171.9	291.2	375.8	191
Affymetrix:CompositeSequence:Mouse430A_2:1415710_at	353.4	1228.8	109.2	1285.4	2662.2	1010.9
Affymetrix:CompositeSequence:Mouse430A_2:1415711_at	9354	4440.7	9609.2	9432.4	10390.8	8066.8
